home_team,away_team,result,home_lineup,away_lineup
Manchester City,Everton,tie,Claudio Bravo - John Stones - Gaël Clichy - Nicolás Otamendi - Raheem Sterling - Ilkay Gündogan - Leroy Sané - Fernandinho - Kevin De Bruyne - David Silva - Kelechi Iheanacho - ,Maarten Stekelenburg - Ashley Williams - Phil Jagielka - Bryan Oviedo - Séamus Coleman - Tom Cleverley - Idrissa Gueye - Gareth Barry - Yannick Bolasie - Gerard Deulofeu - Romelu Lukaku - 
Middlesbrough,Watford,away,Víctor Valdés - George Friend - Ben Gibson - Antonio Barragán - Calum Chambers - Gastón Ramírez - Cristhian Stuani - Marten de Roon - Stewart Downing - Adam Forshaw - Álvaro Negredo - ,Heurelho Gomes - Miguel Britos - Younes Kaboul - Sebastian Prödl - Nordin Amrabat - José Holebas - Isaac Success - Valon Behrami - Etienne Capoue - Roberto Pereyra - Troy Deeney - 
Southampton,Burnley,home,Fraser Forster - José Fonte - Cuco Martina - Virgil van Dijk - Matt Targett - Jordy Clasie - Steven Davis - Dusan Tadic - Oriol Romeu - Charlie Austin Pen. Scored - Nathan Redmond - ,Tom Heaton - Matthew Lowton - Michael Keane - Ben Mee - Stephen Ward - Jóhann Gudmundsson - Dean Marney - Jeff Hendrick - Steven Defour - George Boyd - Sam VokesPen. Scored - 
Stoke City,Sunderland,home,Lee Grant - Phil Bardsley - Erik Pieters - Bruno Martins Indi - Ryan Shawcross - Joe Allen  - Glenn Whelan - Marko Arnautovic - Geoff Cameron - Xherdan Shaqiri - Wilfried Bony - ,Jordan Pickford - Patrick van Aanholt - Papy Djilobodji - John O'Shea - Javier Manquillo - Patrick McNair - Jack Rodwell - Wahbi Khazri - Duncan Watmore - Didier Ndong - Jermain Defoe - 
West Bromwich Albion,Tottenham Hotspur,tie,Ben Foster - Allan-Roméo Nyom - Jonny Evans - Gareth McAuley - Craig Dawson - Claudio Yacob - Matt Phillips - Nacer Chadli - James McClean - Darren Fletcher - Salomón Rondón - ,Hugo Lloris - Kyle Walker - Toby Alderweireld - Jan Vertonghen - Ben Davies - Erik Lamela - Victor Wanyama - Moussa Sissoko - Dele Alli - Christian Eriksen - Vincent Janssen - 
Arsenal,Middlesbrough,tie,Petr Cech - Héctor Bellerín - Laurent Koscielny - Nacho Monreal - Shkodran Mustafi - Mohamed Elneny - Mesut Özil - Theo Walcott - Alex Iwobi - Francis Coquelin - Alexis Sánchez - ,Víctor Valdés - George Friend - Daniel Ayala - Ben Gibson - Antonio Barragán - Gastón Ramírez - Adam Clayton - Marten de Roon - Adam Forshaw - Adama Traoré - Álvaro Negredo - 
AFC Bournemouth,Tottenham Hotspur,tie,Artur Boruc - Simon Francis - Steve Cook - Charlie Daniels - Adam Smith - Dan Gosling - Joshua King - Harry Arter - Jordon Ibe - Jack Wilshere - Callum Wilson - ,Hugo Lloris - Kyle Walker - Danny Rose - Jan Vertonghen - Eric Dier - Erik Lamela - Victor Wanyama - Mousa Dembélé - Dele Alli - Christian Eriksen - Son Heung-Min - 
Burnley,Everton,home,Tom Heaton - Matthew Lowton - Michael Keane - Ben Mee - Stephen Ward - Jóhann Gudmundsson - Dean Marney - Michael Kightly - Jeff Hendrick - Sam Vokes - Scott Arfield  - ,Maarten Stekelenburg - Ashley Williams - Phil Jagielka - Bryan Oviedo - Séamus Coleman - Ross Barkley - Idrissa Gueye - Gareth Barry - Yannick Bolasie - Romelu Lukaku - Kevin Mirallas - 
Chelsea,Manchester United,home,Thibaut Courtois - Gary Cahill - César Azpilicueta - David Luiz - Marcos Alonso - N'Golo Kanté - Victor Moses - Nemanja Matic - Eden Hazard - Pedro  - Diego Costa - ,David de Gea - Eric Bailly - Chris Smalling - Daley Blind - Luis Antonio Valencia - Paul Pogba - Marcus Rashford - Jesse Lingard - Ander Herrera - Marouane Fellaini - Zlatan Ibrahimovic - 
Hull City,Stoke City,away,David Marshall - Curtis Davies - Sam Clucas - Michael Dawson - Ahmed El Mohamady - Ryan Mason - Tom Huddlestone - David Meyler - Robert Snodgrass - Jake Livermore - Will Keane - ,Lee Grant - Phil Bardsley - Erik Pieters - Bruno Martins Indi - Ryan Shawcross - Joe Allen - Glenn Whelan - Marko Arnautovic - Geoff Cameron - Xherdan Shaqiri   - Wilfried Bony - 
Leicester City,Crystal Palace,home,Kasper Schmeichel - Danny Simpson - Wes Morgan - Robert Huth - Christian Fuchs - Daniel Drinkwater - Andy King - Ahmed Musa - Riyad Mahrez - Islam Slimani - Shinji Okazaki - ,Steve Mandanda - Joel Ward - James Tomkins - Damien Delaney - Martin Kelly - Yohan Cabaye - Andros Townsend - Wilfried Zaha - Joe Ledley - James McArthur - Christian Benteke - 
Liverpool,West Bromwich Albion,home,Loris Karius - Nathaniel Clyne - Dejan Lovren - James Milner - Joel Matip - Jordan Henderson - Adam Lallana - Emre Can - Roberto Firmino - Philippe Coutinho - Sadio Mané - ,Ben Foster - Allan-Roméo Nyom - Jonas Olsson - Gareth McAuley - Craig Dawson - Claudio Yacob - Matt Phillips - Nacer Chadli - James McClean - Darren Fletcher - Salomón Rondón - 
Manchester City,Southampton,tie,Claudio Bravo - Vincent Kompany - John Stones - Aleksandar Kolarov - Raheem Sterling - Ilkay Gündogan - Leroy Sané - Fernandinho - Sergio Agüero - Kevin De Bruyne - David Silva - ,Fraser Forster - José Fonte - Cuco Martina - Virgil van Dijk - Sam McQueen - Jordy Clasie - Steven Davis - Dusan Tadic - Oriol Romeu - Charlie Austin - Nathan Redmond - 
Swansea City,Watford,tie,Lukasz Fabianski - Mike van der Hoorn - Alfie Mawson - Kyle Naughton - Stephen Kingsley - Ki Sung-Yueng - Leon Britton - Wayne Routledge - Modou Barrow - Gylfi Sigurdsson - Borja Bastón - ,Heurelho Gomes - Miguel Britos - Younes Kaboul - Sebastian Prödl - Juan Camilo Zuñiga - José Holebas - Valon Behrami - Etienne Capoue - Roberto Pereyra - Troy Deeney - Odion Ighalo - 
West Ham United,Sunderland,home,Adrián - Winston Reid  - Cheikhou Kouyaté - Angelo Ogbonna - Pedro Obiang - Mark Noble - Michail Antonio - Edimilson Fernandes - Simone Zaza - Dimitri Payet - Manuel Lanzini - ,Jordan Pickford - Patrick van Aanholt - John O'Shea - Javier Manquillo - Lamine Koné - Jack Rodwell - Wahbi Khazri - Duncan Watmore - Didier Ndong - Steven Pienaar - Jermain Defoe - 
Crystal Palace,Liverpool,away,Steve Mandanda - Joel Ward - James Tomkins - Scott Dann - Martin Kelly - Yohan Cabaye - Wilfried Zaha - Chung-Yong Lee - Joe Ledley - James McArthur  - Christian Benteke - ,Loris Karius - Nathaniel Clyne - Dejan Lovren - Alberto Moreno - Joel Matip - Jordan Henderson - Adam Lallana - Emre Can  - Roberto Firmino  - Philippe Coutinho - Sadio Mané - 
Everton,West Ham United,home,Joel Robles - Ashley Williams - Bryan Oviedo - Séamus Coleman - Ramiro Funes Mori - Yannick Bolasie - Ross Barkley - Kevin Mirallas - Idrissa Gueye - Gareth Barry - Romelu Lukaku - ,Adrián - Winston Reid - Cheikhou Kouyaté - Angelo Ogbonna - Aaron Cresswell - Pedro Obiang - Mark Noble - Edimilson Fernandes - Dimitri Payet - Manuel Lanzini - Michail Antonio - 
Manchester United,Burnley,tie,David de Gea - Marcos Rojo - Daley Blind - Luke Shaw - Matteo Darmian - Paul Pogba - Juan Mata - Marcus Rashford - Jesse Lingard - Ander Herrera  - Zlatan Ibrahimovic - ,Tom Heaton - Matthew Lowton - Michael Keane - Ben Mee - Stephen Ward - Jóhann Gudmundsson - Dean Marney - Jeff Hendrick - Scott Arfield - Andre Gray - Sam Vokes - 
Middlesbrough,AFC Bournemouth,home,Víctor Valdés - George Friend - Ben Gibson - Antonio Barragán - Calum Chambers - Gastón Ramírez  - Adam Clayton - Stewart Downing - Adam Forshaw - Adama Traoré - Álvaro Negredo - ,Artur Boruc - Simon Francis - Steve Cook - Charlie Daniels - Adam Smith - Andrew Surman - Joshua King - Harry Arter - Jordon Ibe - Jack Wilshere - Callum Wilson - 
Southampton,Chelsea,away,Fraser Forster - José Fonte - Cuco Martina - Virgil van Dijk - Ryan Bertrand - Jordy Clasie - Steven Davis - Dusan Tadic - Oriol Romeu - Charlie Austin - Nathan Redmond - ,Thibaut Courtois - Gary Cahill - César Azpilicueta - David Luiz - Marcos Alonso - N'Golo Kanté - Victor Moses - Nemanja Matic - Eden Hazard - Pedro - Diego Costa - 
Stoke City,Swansea City,home,Lee Grant - Phil Bardsley - Erik Pieters - Bruno Martins Indi - Ryan Shawcross - Joe Allen - Glenn Whelan - Marko Arnautovic - Charlie Adam - Xherdan Shaqiri - Wilfried Bony  - ,Lukasz Fabianski - Neil Taylor - Mike van der Hoorn - Alfie MawsonOwn  - Kyle Naughton - Ki Sung-Yueng - Leroy Fer - Wayne Routledge - Modou Barrow - Gylfi Sigurdsson - Fernando Llorente - 
Sunderland,Arsenal,away,Jordan Pickford - Billy Jones - Patrick van Aanholt - John O'Shea - Lamine Koné - Jack Rodwell - Wahbi Khazri - Duncan Watmore - Didier Ndong - Steven Pienaar - Jermain DefoePen. Scored - ,Petr Cech - Héctor Bellerín - Kieran Gibbs - Laurent Koscielny - Shkodran Mustafi - Mohamed Elneny - Mesut Özil - Alex Oxlade-Chamberlain - Alex Iwobi - Francis Coquelin - Alexis Sánchez   - 
Tottenham Hotspur,Leicester City,tie,Hugo Lloris - Kyle Walker - Danny Rose - Jan Vertonghen - Eric Dier - Son Heung-Min - Victor Wanyama - Mousa Dembélé - Dele Alli - Christian Eriksen - Vincent JanssenPen. Scored - ,Kasper Schmeichel - Danny Simpson - Wes Morgan - Robert Huth - Christian Fuchs - Daniel Drinkwater - Andy King - Ahmed Musa  - Riyad Mahrez - Jamie Vardy - Shinji Okazaki - 
Watford,Hull City,home,Heurelho Gomes - Miguel Britos - Younes Kaboul - Sebastian Prödl - Nordin Amrabat - Valon Behrami - José Holebas - Etienne Capoue - Roberto Pereyra - Troy Deeney - Odion Ighalo - ,David Marshall - Harry Maguire - Curtis Davies - Michael DawsonOwn  - Ryan Mason - Sam Clucas - Jake Livermore - Markus Henriksen - Ahmed El Mohamady - Abel Hernández - Will Keane - 
West Bromwich Albion,Manchester City,away,Ben Foster - Allan-Roméo Nyom - Jonas Olsson - Gareth McAuley - Craig Dawson - Jonny Evans - Nacer Chadli - Chris Brunt - James McClean - Darren Fletcher - Salomón Rondón - ,Claudio Bravo - John Stones - Fernando - Aleksandar Kolarov - Nicolás Otamendi - Raheem Sterling - Ilkay Gündogan  - Nolito - David Silva - Fernandinho - Sergio Agüero  - 
Arsenal,Tottenham Hotspur,tie,Petr Cech - Héctor Bellerín - Laurent Koscielny - Nacho Monreal - Shkodran Mustafi - Mesut Özil - Theo Walcott - Alex Iwobi - Granit Xhaka - Francis Coquelin - Alexis Sánchez - ,Hugo Lloris - Jan Vertonghen - Eric Dier - Kevin Wimmer Own  - Kyle Walker - Danny Rose - Victor Wanyama - Mousa Dembélé - Son Heung-Min - Harry KanePen. Scored - Christian Eriksen - 
AFC Bournemouth,Sunderland,away,Artur Boruc - Simon Francis - Steve Cook - Charlie Daniels - Adam Smith - Dan Gosling - Harry Arter - Jordon Ibe - Junior Stanislas - Jack Wilshere - Joshua King - ,Jordan Pickford - Billy Jones - Patrick van Aanholt - Papy Djilobodji - Lamine Koné - Patrick McNair - Duncan Watmore - Didier Ndong - Steven Pienaar  - Victor Anichebe  - Jermain DefoePen. Scored - 
Burnley,Crystal Palace,home,Tom Heaton - Matthew Lowton - Jon Flanagan - Michael Keane - Ben Mee - Jóhann Gudmundsson - Dean Marney - Steven Defour - Scott Arfield - Sam Vokes - Jeff Hendrick - ,Steve Mandanda - Joel Ward - Scott Dann - Damien Delaney - Martin Kelly - Yohan Cabaye - Andros Townsend - Wilfried Zaha - James McArthur - Jason Puncheon - Christian BentekePen. Scored - 
Chelsea,Everton,home,Thibaut Courtois - Gary Cahill - César Azpilicueta - David Luiz - Marcos Alonso - N'Golo Kanté - Victor Moses - Nemanja Matic - Eden Hazard  - Pedro - Diego Costa - ,Maarten Stekelenburg - Ashley Williams - Phil Jagielka - Bryan Oviedo - Séamus Coleman - Ramiro Funes Mori - Ross Barkley - Tom Cleverley - Gareth Barry - Yannick Bolasie - Romelu Lukaku - 
Hull City,Southampton,home,David Marshall - Harry Maguire - Curtis Davies - Michael Dawson - Ryan Mason - Sam Clucas - Jake Livermore - Markus Henriksen - Ahmed El Mohamady - Abel Hernández - Will Keane - ,Fraser Forster - Maya Yoshida - José Fonte - Virgil van Dijk - Ryan Bertrand - Jordy Clasie - Steven Davis - Oriol Romeu - Charlie AustinPen. Scored - Dusan Tadic - Nathan Redmond - 
Leicester City,West Bromwich Albion,away,Ron-Robert Zieler - Danny Simpson - Wes Morgan - Robert Huth - Christian Fuchs - Daniel Drinkwater - Andy King - Ahmed Musa - Riyad Mahrez - Islam Slimani - Shinji Okazaki - ,Ben Foster - Allan-Roméo Nyom - Jonny Evans - Gareth McAuley - Craig Dawson - Claudio Yacob - James Morrison - Matt Phillips - Chris Brunt - Darren Fletcher - Salomón Rondón - 
Liverpool,Watford,home,Loris Karius - Nathaniel Clyne - James Milner - Lucas Leiva - Joel Matip - Jordan Henderson - Adam Lallana - Emre Can - Roberto Firmino - Philippe Coutinho - Sadio Mané  - ,Heurelho Gomes - Daryl Janmaat - Miguel Britos - Younes Kaboul - José Holebas - Nordin Amrabat - Valon Behrami - Etienne Capoue - Roberto Pereyra - Troy Deeney - Odion Ighalo - 
Manchester City,Middlesbrough,tie,Claudio Bravo - Pablo Zabaleta - John Stones - Aleksandar Kolarov - Gaël Clichy - Ilkay Gündogan - Jesús Navas - Kevin De Bruyne - David Silva - Fernandinho - Sergio Agüero  - ,Víctor Valdés - George Friend - Ben Gibson - Antonio Barragán - Calum Chambers - Adam Clayton - Marten de Roon  - Stewart Downing - Adam Forshaw - Adama Traoré - Álvaro Negredo - 
Swansea City,Manchester United,away,Lukasz Fabianski - Mike van der Hoorn - Alfie Mawson - Angel Rangel - Stephen Kingsley - Ki Sung-Yueng - Leon Britton - Wayne Routledge - Gylfi Sigurdsson - Fernando Llorente - Borja Bastón - ,David de Gea - Phil Jones - Marcos Rojo - Ashley Young - Matteo Darmian - Paul Pogba - Juan Mata - Wayne Rooney - Michael Carrick - Marouane Fellaini - Zlatan Ibrahimovic   - 
West Ham United,Stoke City,tie,Adrián - Cheikhou Kouyaté - James Collins - Angelo Ogbonna - Aaron Cresswell - Pedro Obiang - Mark Noble - Michail Antonio - André Ayew - Dimitri Payet - Manuel Lanzini - ,Lee Grant - Phil Bardsley - Erik Pieters - Bruno Martins Indi - Ryan Shawcross - Joe Allen - Glenn WhelanOwn  - Charlie Adam - Jonathan Walters - Ramadan Sobhi - Wilfried Bony - 
Crystal Palace,Manchester City,away,Wayne Hennessey - Joel Ward - James Tomkins - Scott Dann - Martin Kelly - Yohan Cabaye - Andros Townsend - Wilfried Zaha - James McArthur - Jason Puncheon - Christian Benteke - ,Claudio Bravo - Bacary Sagna - Vincent Kompany - Aleksandar Kolarov - Nicolás Otamendi - Raheem Sterling - Nolito - Kevin De Bruyne - Fernandinho - Yaya Touré  - Sergio Agüero - 
Everton,Swansea City,tie,Maarten Stekelenburg - Leighton Baines - Ashley Williams - Phil Jagielka - Séamus Coleman - Yannick Bolasie - Ross Barkley - Aaron Lennon - James McCarthy - Idrissa Gueye - Romelu Lukaku - ,Lukasz Fabianski - Jordi Amat - Neil Taylor - Federico Fernández - Kyle Naughton - Leroy Fer - Jack Cork - Jay Fulton - Wayne Routledge - Modou Barrow - Gylfi SigurdssonPen. Scored - 
Manchester United,Arsenal,tie,David de Gea - Phil Jones - Marcos Rojo - Luis Antonio Valencia - Matteo Darmian - Paul Pogba - Michael Carrick - Ander Herrera - Juan Mata  - Anthony Martial - Marcus Rashford - ,Petr Cech - Laurent Koscielny - Nacho Monreal - Shkodran Mustafi - Carl Jenkinson - Mohamed Elneny - Aaron Ramsey - Mesut Özil - Theo Walcott - Francis Coquelin - Alexis Sánchez - 
Middlesbrough,Chelsea,away,Víctor Valdés - Fabio - Ben Gibson - Antonio Barragán - Calum Chambers - Gastón Ramírez - Adam Clayton - Marten de Roon - Adam Forshaw - Adama Traoré - Álvaro Negredo - ,Thibaut Courtois - Gary Cahill - César Azpilicueta - David Luiz - Marcos Alonso - N'Golo Kanté - Victor Moses - Nemanja Matic - Eden Hazard - Pedro - Diego Costa - 
Southampton,Liverpool,tie,Fraser Forster - Cédric Soares - José Fonte - Virgil van Dijk - Ryan Bertrand - Steven Davis - Oriol Romeu - Pierre-Emile Højbjerg - Charlie Austin - Sofiane Boufal - Nathan Redmond - ,Loris Karius - Nathaniel Clyne - Dejan Lovren - James Milner - Joel Matip - Georginio Wijnaldum - Jordan Henderson - Emre Can - Roberto Firmino - Sadio Mané - Philippe Coutinho - 
Stoke City,AFC Bournemouth,away,Lee Grant - Phil Bardsley - Erik Pieters - Bruno Martins Indi - Ryan Shawcross - Joe Allen - Marko Arnautovic - Charlie Adam - Xherdan Shaqiri - Bojan - Wilfried Bony - ,Adam Federici - Simon Francis - Steve Cook - Nathan Aké - Charlie Daniels - Dan Gosling - Joshua King - Harry Arter - Junior Stanislas - Jack Wilshere - Callum Wilson - 
Sunderland,Hull City,home,Jordan Pickford - Billy Jones - Patrick van Aanholt - Papy Djilobodji  - Lamine Koné - Jason Denayer - Patrick McNair - Didier Ndong - Duncan Watmore - Jermain Defoe - Victor Anichebe  - ,David Marshall - Curtis Davies - Michael Dawson - Ahmed El Mohamady - Josh Tymon - Ryan Mason - Robert Snodgrass - Sam Clucas - Jake Livermore - Dieudonne Mbokani Bezua - Markus Henriksen - 
Tottenham Hotspur,West Ham United,home,Hugo Lloris - Kyle Walker - Danny Rose - Jan Vertonghen - Eric Dier - Victor Wanyama - Mousa Dembélé - Christian Eriksen - Harry Winks - Vincent Janssen - Harry Kane Pen. Scored - ,Darren Randolph - Winston Reid  - Cheikhou Kouyaté - Angelo Ogbonna - Aaron Cresswell - Pedro Obiang - Manuel Lanzini Pen. Scored - Michail Antonio  - Diafra Sakho - André Ayew - Dimitri Payet - 
Watford,Leicester City,home,Heurelho Gomes - Miguel Britos - Younes Kaboul - Sebastian Prödl - Daryl Janmaat - Valon Behrami - Juan Camilo Zuñiga - Etienne Capoue - Nordin Amrabat - Troy Deeney - Roberto Pereyra - ,Ron-Robert Zieler - Danny Simpson - Wes Morgan - Robert Huth - Christian Fuchs - Daniel Drinkwater - Marc Albrighton - Daniel Amartey - Riyad MahrezPen. Scored - Jamie Vardy - Shinji Okazaki - 
West Bromwich Albion,Burnley,home,Ben Foster - Allan-Roméo Nyom - Jonny Evans - Gareth McAuley - Craig Dawson - Claudio Yacob - James Morrison - Matt Phillips - Chris Brunt - Darren Fletcher - Salomón Rondón - ,Tom Heaton - Matthew Lowton - Michael Keane - Ben Mee - Stephen Ward - Jóhann Gudmundsson - Dean Marney - Steven Defour - Scott Arfield - Sam Vokes - Jeff Hendrick - 
Arsenal,AFC Bournemouth,home,Petr Cech - Mathieu Debuchy - Laurent Koscielny - Nacho Monreal - Shkodran Mustafi - Mohamed Elneny - Mesut Özil - Theo Walcott - Alex Oxlade-Chamberlain - Granit Xhaka - Alexis Sánchez   - ,Adam Federici - Simon Francis - Steve Cook - Nathan Aké - Brad Smith - Dan Gosling - Joshua King - Harry Arter - Adam Smith - Junior Stanislas - Callum WilsonPen. Scored - 
Burnley,Manchester City,away,Paul Robinson - Matthew Lowton - Michael Keane - Ben Mee - Stephen Ward - Jóhann Gudmundsson - Dean Marney  - Steven Defour - George Boyd - Sam Vokes - Jeff Hendrick - ,Claudio Bravo - Bacary Sagna - Aleksandar Kolarov - Gaël Clichy - Nicolás Otamendi - Fernando - Raheem Sterling - Nolito - Fernandinho - Yaya Touré - Sergio Agüero   - 
Chelsea,Tottenham Hotspur,home,Thibaut Courtois - Gary Cahill - César Azpilicueta - David Luiz - Marcos Alonso - N'Golo Kanté - Victor Moses - Nemanja Matic - Eden Hazard - Pedro - Diego Costa - ,Hugo Lloris - Kyle Walker - Jan Vertonghen - Eric Dier - Kevin Wimmer - Son Heung-Min - Victor Wanyama - Mousa Dembélé - Dele Alli - Christian Eriksen - Harry Kane - 
Hull City,West Bromwich Albion,tie,David Marshall - Curtis Davies - Michael Dawson  - Ahmed El Mohamady - Josh Tymon - Ryan Mason - Robert Snodgrass - Sam Clucas - Jake Livermore - Dieudonne Mbokani Bezua - Markus Henriksen - ,Ben Foster - Allan-Roméo Nyom - Jonny Evans - Gareth McAuley  - Craig Dawson - Claudio Yacob - James Morrison - Matt Phillips - Chris Brunt - Darren Fletcher - Salomón Rondón - 
Leicester City,Middlesbrough,tie,Ron-Robert Zieler - Danny Simpson - Wes Morgan - Robert Huth - Christian Fuchs - Andy King - Marc Albrighton - Daniel Amartey - Riyad MahrezPen. Scored - Jamie Vardy - Shinji Okazaki - ,Víctor Valdés - Fabio - Ben Gibson - Antonio Barragán - Calum Chambers - Gastón Ramírez - Adam Clayton - Marten de Roon - Adam Forshaw - Adama Traoré - Álvaro Negredo   - 
Liverpool,Sunderland,home,Loris Karius - Nathaniel Clyne - Dejan Lovren - James MilnerPen. Scored - Joel Matip - Georginio Wijnaldum - Jordan Henderson - Emre Can - Roberto Firmino - Philippe Coutinho - Sadio Mané - ,Jordan Pickford - Billy Jones - Patrick van Aanholt - John O'Shea - Lamine Koné - Jason Denayer - Didier Ndong - Steven Pienaar - Duncan Watmore - Jermain Defoe - Victor Anichebe - 
Manchester United,West Ham United,tie,David de Gea - Phil Jones - Marcos Rojo - Luis Antonio Valencia - Matteo Darmian - Paul Pogba - Juan Mata - Marcus Rashford - Jesse Lingard - Ander Herrera - Zlatan Ibrahimovic - ,Darren Randolph - Cheikhou Kouyaté - James Collins - Angelo Ogbonna - Aaron Cresswell - Pedro Obiang - Mark Noble - Michail Antonio - Diafra Sakho - Dimitri Payet - Manuel Lanzini - 
Southampton,Everton,home,Fraser Forster - Cédric Soares - José Fonte - Virgil van Dijk - Ryan Bertrand - Oriol Romeu - James Ward-Prowse - Pierre-Emile Højbjerg - Charlie Austin - Nathan Redmond - Josh Sims - ,Maarten Stekelenburg - Leighton Baines - Ashley Williams - Phil Jagielka - Séamus Coleman - Yannick Bolasie - Ross Barkley - Aaron Lennon - Idrissa Gueye - Gareth Barry - Romelu Lukaku - 
Swansea City,Crystal Palace,home,Lukasz Fabianski - Jordi Amat - Neil Taylor - Federico Fernández - Kyle Naughton - Leroy Fer  - Jack Cork Own  - Jay Fulton - Wayne Routledge - Modou Barrow - Gylfi Sigurdsson - ,Wayne Hennessey - Joel Ward - James Tomkins - Scott Dann - Martin Kelly - Yohan Cabaye - Wilfried Zaha - James McArthur - Jason Puncheon - Christian Benteke - Connor Wickham - 
Watford,Stoke City,away,Heurelho GomesOwn  - Miguel Britos  - Younes Kaboul - Sebastian Prödl - Daryl Janmaat - Valon Behrami - José Holebas - Etienne Capoue - Nordin Amrabat - Troy Deeney - Roberto Pereyra - ,Lee Grant - Erik Pieters - Marc Muniesa - Glen Johnson - Bruno Martins Indi - Marko Arnautovic - Charlie Adam - Mame Biram Diouf - Giannelli Imbula - Xherdan Shaqiri - Jonathan Walters - 
AFC Bournemouth,Liverpool,home,Artur Boruc - Simon Francis - Steve Cook - Nathan Aké - Adam Smith - Dan Gosling - Joshua King - Harry Arter - Junior Stanislas - Jack Wilshere - Callum WilsonPen. Scored - ,Loris Karius - Nathaniel Clyne - Dejan Lovren - James Milner - Lucas Leiva - Georginio Wijnaldum - Jordan Henderson - Emre Can  - Roberto Firmino - Sadio Mané - Divock Origi - 
Crystal Palace,Southampton,home,Wayne Hennessey - Joel Ward - James Tomkins  - Scott Dann - Damien Delaney - Andros Townsend - Wilfried Zaha - Joe Ledley - James McArthur - Jason Puncheon - Christian Benteke   - ,Fraser Forster - Cédric Soares - José Fonte - Virgil van Dijk - Ryan Bertrand - Oriol Romeu - James Ward-Prowse - Pierre-Emile Højbjerg - Charlie Austin - Sofiane Boufal - Nathan Redmond - 
Everton,Manchester United,tie,Maarten Stekelenburg - Leighton BainesPen. Scored - Ashley Williams - Séamus Coleman - Ramiro Funes Mori - Yannick Bolasie - Tom Cleverley - Idrissa Gueye - Gareth Barry - Romelu Lukaku - Kevin Mirallas - ,David de Gea - Phil Jones - Marcos Rojo - Luis Antonio Valencia - Matteo Darmian - Paul Pogba - Michael Carrick - Ander Herrera - Anthony Martial - Zlatan Ibrahimovic - Henrikh Mkhitaryan - 
Manchester City,Chelsea,away,Claudio Bravo - John Stones - Aleksandar Kolarov - Nicolás Otamendi - Ilkay Gündogan - Jesús Navas - Leroy Sané - Fernandinho - Sergio Agüero - Kevin De Bruyne - David Silva - ,Thibaut Courtois - Gary CahillOwn  - César Azpilicueta - David Luiz - Marcos Alonso - Cesc Fàbregas - N'Golo Kanté - Victor Moses - Eden Hazard - Pedro - Diego Costa - 
Middlesbrough,Hull City,home,Víctor Valdés - Fabio - Ben Gibson - Antonio Barragán - Calum Chambers - Adam Clayton - Marten de Roon - Adam Forshaw - Gastón Ramírez - Álvaro Negredo - Viktor Fischer - ,David Marshall - Andrew Robertson - Curtis Davies - Michael Dawson - Ahmed El Mohamady - Ryan Mason - Robert Snodgrass - Sam Clucas - Jake Livermore - Adama Diomande - Markus Henriksen - 
Stoke City,Burnley,home,Lee Grant - Erik Pieters - Marc Muniesa  - Glen Johnson - Bruno Martins Indi - Marko Arnautovic - Charlie Adam - Mame Biram Diouf - Giannelli Imbula - Xherdan Shaqiri - Jonathan Walters - ,Paul Robinson - Jon Flanagan - Michael Keane - Ben Mee - Stephen Ward - Dean Marney - Jeff Hendrick - George Boyd - Scott Arfield - Andre Gray - Ashley Barnes - 
Sunderland,Leicester City,home,Jordan Pickford - Billy Jones - Patrick van Aanholt - Papy Djilobodji - Lamine Koné - Jason Denayer - Didier Ndong - Steven Pienaar - Duncan Watmore - Jermain Defoe - Victor Anichebe - ,Ron-Robert Zieler - Danny Simpson - Wes Morgan - Robert HuthOwn  - Christian Fuchs - Andy King - Marc Albrighton - Daniel Amartey - Riyad Mahrez - Jamie Vardy - Islam Slimani - 
Tottenham Hotspur,Swansea City,home,Hugo Lloris - Kyle Walker - Danny Rose - Jan Vertonghen - Eric Dier - Son Heung-Min - Victor Wanyama - Mousa Dembélé - Dele Alli - Christian Eriksen  - Harry KanePen. Scored  - ,Lukasz Fabianski - Jordi Amat - Neil Taylor - Mike van der Hoorn - Kyle Naughton - Leroy Fer - Jack Cork - Jay Fulton - Modou Barrow - Jefferson Montero - Gylfi Sigurdsson - 
West Bromwich Albion,Watford,home,Ben Foster - Allan-Roméo Nyom - Jonny Evans - Gareth McAuley - Craig Dawson - Claudio Yacob - James Morrison - Matt Phillips - Chris Brunt - Darren Fletcher - Salomón Rondón - ,Heurelho Gomes - Sebastian Prödl - Juan Camilo Zuñiga - José Holebas - Christian Kabasele - Nordin Amrabat - Adlène Guédioura - Etienne Capoue - Roberto Pereyra - Troy Deeney - Stefano Okaka - 
West Ham United,Arsenal,away,Darren Randolph - Winston Reid - James Collins - Angelo Ogbonna - Pedro Obiang - Mark Noble - Arthur Masuaku - Edimilson Fernandes - Ashley Fletcher - Dimitri Payet - Manuel Lanzini - ,Petr Cech - Gabriel Paulista - Laurent Koscielny - Nacho Monreal - Shkodran Mustafi - Mesut Özil - Theo Walcott - Alex Oxlade-Chamberlain - Granit Xhaka - Francis Coquelin - Alexis Sánchez   - 
